Net,Depth,Phylum,Class,Order,Genus,Species,OTU,OTU
WP2,200m,Arthropoda,Malacostraca,Euphausiacea,Euphausia,recurva,Euphausia_recurva,5
WP2,200m,Chordata,Actinopterygii,Carangiformes,Trachurus,delagoa,Trachurus_delagoa,2
WP2,200m,Chordata,Actinopterygii,Clupeiformes,Sardinops,sagax,Sardinops_sagax,1
WP2,200m,Chordata,Actinopterygii,Perciformes,Parupeneus,fraserorum,Parupeneus_fraserorum,1
WP2,200m,Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,7
WP2,20m,Arthropoda,Copepoda,Calanoida,Calanus,sinicus,Calanus_sinicus,1
WP2,20m,Arthropoda,Copepoda,Calanoida,Euchaeta,marina,Euchaeta_marina,1
WP2,20m,Arthropoda,Copepoda,Calanoida,Subeucalanus,subcrassus,Subeucalanus_subcrassus,1
WP2,20m,Arthropoda,Copepoda,Calanoida,Temora,turbinata,Temora_turbinata,3
WP2,20m,Arthropoda,Malacostraca,Decapoda,Diogenes,aff. pallacens,Diogenes_aff. pallacens,1
WP2,20m,Arthropoda,Malacostraca,Decapoda,Lucifer,sp. DNZ105,Lucifer_sp. DNZ105,3
WP2,20m,Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,5
WP2,20m,Chordata,Actinopterygii,Stomiiformes,Vinciguerria,sp.,Vinciguerria_sp.,1
WP2,20m,Cnidaria,Hydrozoa,Siphonophorae,Muggiaea,atlantica,Muggiaea_atlantica,1
WP2,50m,Arthropoda,Copepoda,Calanoida,Calanus,sinicus,Calanus_sinicus,1
WP2,50m,Arthropoda,Copepoda,Calanoida,Eucalanus,subtenuis,Eucalanus_subtenuis,1
WP2,50m,Arthropoda,Copepoda,Calanoida,Paracalanus,aff. indicus,Paracalanus_aff. indicus,1
WP2,50m,Arthropoda,Copepoda,Calanoida,Subeucalanus,subcrassus,Subeucalanus_subcrassus,1
WP2,50m,Arthropoda,Copepoda,Calanoida,Temora,turbinata,Temora_turbinata,2
WP2,50m,Arthropoda,Malacostraca,Decapoda,Callichirus,gilchristi,Callichirus_gilchristi,1
WP2,50m,Arthropoda,Malacostraca,Decapoda,Diogenes,aff. pallacens,Diogenes_aff. pallacens,2
WP2,50m,Arthropoda,Malacostraca,Decapoda,Liocarcinus,corrugatus,Liocarcinus_corrugatus,1
WP2,50m,Arthropoda,Malacostraca,Decapoda,Lucifer,sp. DNZ105,Lucifer_sp. DNZ105,1
WP2,50m,Arthropoda,Malacostraca,Decapoda,Macropipus,australis,Macropipus_australis,1
WP2,50m,Arthropoda,Malacostraca,Decapoda,Medaeops,neglectus,Medaeops_neglectus,2
WP2,50m,Arthropoda,Malacostraca,Decapoda,Ovalipes,trimaculatus,Ovalipes_trimaculatus,2
WP2,50m,Arthropoda,Malacostraca,Decapoda,Panulirus,homarus,Panulirus_homarus,1
WP2,50m,Arthropoda,Malacostraca,Decapoda,Pisidia,longicornis,Pisidia_longicornis,1
WP2,50m,Arthropoda,Malacostraca,Decapoda,Xaiva,mcleayi,Xaiva_mcleayi,3
WP2,50m,Chordata,Actinopterygii,Blenniiformes,Parablennius,pilicornis,Parablennius_pilicornis,2
WP2,50m,Chordata,Actinopterygii,Clupeiformes,Etrumeus,whiteheadi,Etrumeus_whiteheadi,1
WP2,50m,Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,3
WP2,50m,Hemichordata,Enteropneusta,Enteropneusta_order_incertae_sedis,Ptychodera,flava,Ptychodera_flava,1
WP2,50m,Mollusca,Gastropoda,Pteropoda,Creseis,virgula,Creseis_virgula,1
